                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6515,                 1.6901,                 1.2063,                0.68746,                0.30357,                0.33024,                0.12412,                  2.494,                  3.091,                 1.6793,             0.00065497,             0.00065497,             0.00065497
                      2,                 1.6621,                  1.353,                 1.2258,                0.01194,                0.28571,                0.00622,                0.00216,                 2.6057,                 68.084,                 2.0433,              0.0013086,              0.0013086,              0.0013086
                      3,                 1.6239,                  1.635,                 1.2572,                0.36765,                0.14286,                0.13823,                 0.0613,                 2.4639,                 8.6959,                  1.536,              0.0019489,              0.0019489,              0.0019489
                      4,                 1.7509,                 1.5769,                 1.3398,                0.36497,                0.41071,                0.24634,                 0.0888,                  2.732,                 5.0202,                 2.3855,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6047,                 1.2605,                 1.2406,                0.32121,                0.32963,                0.23473,                0.09961,                  3.045,                  3.206,                 2.5791,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5586,                 1.1693,                 1.2517,                0.34397,                0.05357,                0.03803,                 0.0122,                 3.4934,                 5.5497,                 7.5589,               0.001901,               0.001901,               0.001901
                      7,                 1.5597,                  1.152,                 1.2279,                0.00157,                   0.25,                0.00104,                0.00043,                 2.8119,                 618.74,                 2.4646,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4906,                 1.0778,                 1.2073,                0.33349,                0.20563,                0.17406,                0.07296,                 2.9637,                 2.9792,                 1.9738,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.443,                0.99027,                 1.1484,                 0.7131,                0.42857,                0.47796,                0.16205,                 2.6349,                 2.7417,                 2.4328,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.3979,                 0.9881,                 1.2041,                 0.6102,                0.39286,                0.40652,                 0.1645,                 2.7982,                 2.4885,                 2.5275,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.354,                0.99097,                 1.1463,                0.63217,                0.49115,                 0.5042,                0.19394,                 2.6872,                 2.7984,                 2.1549,               0.001802,               0.001802,               0.001802
                     12,                 1.2979,                0.93914,                 1.1172,                0.44245,                0.46429,                0.42575,                0.16951,                 2.8696,                 2.4058,                 2.0888,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3542,                0.93175,                 1.1486,                0.61418,                0.42857,                 0.4536,                0.18933,                 2.4613,                 2.4726,                 1.8532,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2635,                0.88074,                 1.1195,                0.72791,                0.35714,                 0.4372,                0.18905,                 2.6687,                 2.4529,                 2.0575,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2587,                0.85743,                 1.1104,                0.53237,                0.30499,                0.31932,                0.12243,                 2.8763,                 2.3377,                 2.1806,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2268,                0.80541,                 1.0859,                0.73683,                0.42857,                0.51073,                0.20506,                 2.7543,                 2.2314,                 2.1775,               0.001703,               0.001703,               0.001703
                     17,                 1.2112,                 0.7996,                 1.0594,                0.60161,                0.39286,                0.43693,                0.18126,                 2.6707,                 2.2347,                 2.1072,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.1539,                0.79056,                  1.062,                0.71656,                0.45155,                0.53826,                0.20145,                 2.7838,                 2.1635,                 2.2742,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.1596,                0.76674,                 1.1015,                0.50388,                0.46429,                0.44068,                0.16554,                 2.7133,                 2.5402,                 1.9737,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.1747,                0.76307,                 1.0692,                 0.7591,                0.46429,                0.48543,                0.15952,                 2.8675,                 2.0829,                 2.3552,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.1553,                0.74772,                 1.0701,                0.84358,                0.35714,                0.43417,                0.15293,                 2.9312,                 2.4312,                 2.1943,               0.001604,               0.001604,               0.001604
                     22,                 1.1553,                0.76274,                 1.0457,                0.76494,                  0.375,                0.45508,                0.17216,                 2.8122,                 2.5311,                 2.1714,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.0731,                0.73279,                 1.0371,                0.65092,                0.53282,                0.55512,                0.19873,                 2.5728,                 1.8929,                 2.1042,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.0327,                0.69543,                 1.0098,                0.62127,                0.42857,                0.47678,                0.18107,                 2.5021,                 1.8326,                 2.0719,              0.0015446,              0.0015446,              0.0015446
                     25,                 0.9776,                0.67808,                 1.0054,                 0.6598,                0.46429,                0.49702,                0.20281,                 2.6234,                 2.2119,                 2.0419,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.0225,                0.67263,                  1.026,                0.76155,                0.46429,                0.54612,                0.18484,                 2.6374,                 2.0183,                 2.2202,               0.001505,               0.001505,               0.001505
                     27,                 1.0441,                0.67468,                  1.027,                0.81336,                0.39286,                0.47914,                0.20981,                 2.6252,                 2.1481,                 2.2996,              0.0014852,              0.0014852,              0.0014852
                     28,                0.97751,                0.64126,                 1.0008,                0.72299,                0.41071,                 0.5098,                 0.2116,                 2.6444,                 2.1168,                 2.0951,              0.0014654,              0.0014654,              0.0014654
                     29,                0.95823,                0.62466,                 1.0115,                0.53416,                0.51786,                0.47185,                 0.1816,                 2.8594,                 2.3975,                 2.1606,              0.0014456,              0.0014456,              0.0014456
                     30,                0.95372,                0.64292,                0.99766,                0.78073,                0.39286,                0.46532,                0.21688,                   2.69,                 1.8288,                 2.2906,              0.0014258,              0.0014258,              0.0014258
                     31,                0.96258,                0.64259,                 1.0344,                0.67165,                0.48214,                0.52656,                0.21633,                 2.5858,                 1.8885,                  1.984,               0.001406,               0.001406,               0.001406
                     32,                0.95751,                0.60923,                 1.0077,                0.64379,                0.57143,                0.59796,                0.24642,                 2.7373,                 2.2664,                 2.1718,              0.0013862,              0.0013862,              0.0013862
                     33,                0.95247,                 0.6229,                 1.0048,                0.67979,                0.51786,                0.58188,                0.24129,                 2.7762,                 2.2805,                 2.1619,              0.0013664,              0.0013664,              0.0013664
                     34,                0.95933,                0.61802,                0.99152,                0.80039,                0.50125,                0.60775,                0.26579,                 2.5956,                  2.258,                  1.905,              0.0013466,              0.0013466,              0.0013466
                     35,                0.90493,                 0.5858,                0.97628,                0.78366,                0.51786,                0.63131,                0.24943,                 2.4006,                 1.8723,                 1.8685,              0.0013268,              0.0013268,              0.0013268
                     36,                0.91723,                0.59419,                0.99458,                 0.7954,                0.53571,                0.59289,                0.24074,                 2.5949,                 1.9607,                 2.0573,               0.001307,               0.001307,               0.001307
                     37,                0.89414,                0.56491,                0.97501,                0.66345,                0.51786,                 0.5559,                0.23266,                  2.739,                 1.9634,                 2.1905,              0.0012872,              0.0012872,              0.0012872
                     38,                0.86677,                0.55801,                0.95413,                0.80121,                0.42857,                0.53952,                0.24352,                 2.4922,                 1.9373,                 2.1352,              0.0012674,              0.0012674,              0.0012674
                     39,                0.89425,                0.56988,                0.96063,                 0.7793,                0.51786,                0.57989,                0.24742,                 2.4645,                 1.9443,                 2.2548,              0.0012476,              0.0012476,              0.0012476
                     40,                0.89467,                0.56861,                0.98282,                0.74738,                0.53571,                0.60429,                0.23521,                 2.7515,                 2.0469,                 2.2905,              0.0012278,              0.0012278,              0.0012278
                     41,                0.86173,                0.53195,                0.93863,                0.68999,                0.60714,                0.67408,                0.29346,                  2.509,                 1.6257,                 2.1211,               0.001208,               0.001208,               0.001208
                     42,                0.90785,                0.57648,                0.97949,                0.87627,                0.50598,                0.60608,                0.26704,                  2.458,                 1.5529,                   2.18,              0.0011882,              0.0011882,              0.0011882
                     43,                0.90931,                0.58559,                0.95775,                0.81086,                0.55357,                0.60699,                0.26643,                 2.4381,                 1.8341,                 2.0607,              0.0011684,              0.0011684,              0.0011684
                     44,                  0.871,                0.54474,                0.95369,                0.70849,                0.51786,                0.58664,                0.25029,                 2.5321,                 1.7297,                 2.2892,              0.0011486,              0.0011486,              0.0011486
                     45,                0.84512,                0.53921,                0.94908,                0.68087,                0.53342,                0.61663,                0.25281,                 2.6873,                 1.8993,                 2.4442,              0.0011288,              0.0011288,              0.0011288
                     46,                0.82093,                0.52776,                 0.9528,                0.77205,                0.53571,                0.62824,                0.26857,                 2.5283,                 1.8728,                 2.2937,               0.001109,               0.001109,               0.001109
                     47,                0.82588,                0.51126,                0.93299,                0.66422,                0.64286,                0.61841,                0.28438,                 2.5128,                 1.7485,                 2.2647,              0.0010892,              0.0010892,              0.0010892
                     48,                0.86119,                0.52939,                0.95991,                0.73208,                  0.625,                0.65243,                0.25757,                 2.5415,                 1.6978,                 2.3224,              0.0010694,              0.0010694,              0.0010694
                     49,                0.80522,                0.50034,                0.93687,                0.72803,                  0.625,                0.66047,                0.27093,                 2.6516,                 1.7933,                 2.1521,              0.0010496,              0.0010496,              0.0010496
                     50,                0.78154,                0.48901,                0.93302,                0.78432,                0.51953,                0.64595,                0.28207,                 2.4753,                 1.7587,                 2.0761,              0.0010298,              0.0010298,              0.0010298
                     51,                0.76854,                0.47505,                0.93535,                0.75655,                0.53571,                0.64661,                0.27438,                 2.3994,                  1.545,                 2.1373,                0.00101,                0.00101,                0.00101
                     52,                  0.802,                0.50769,                0.94771,                0.72972,                0.53044,                 0.5936,                0.24732,                 2.4709,                 1.8051,                 2.1162,              0.0009902,              0.0009902,              0.0009902
                     53,                 0.8289,                0.48623,                0.93649,                0.77695,                0.55992,                0.62576,                0.25301,                 2.5517,                 1.7731,                 2.2259,              0.0009704,              0.0009704,              0.0009704
                     54,                0.76018,                0.46629,                0.91738,                0.78534,                  0.588,                0.67741,                0.29406,                 2.4892,                 1.5655,                 2.1782,              0.0009506,              0.0009506,              0.0009506
                     55,                0.77815,                0.48529,                0.92312,                0.85966,                0.54706,                0.68038,                0.28734,                 2.5548,                 1.4623,                 2.3806,              0.0009308,              0.0009308,              0.0009308
                     56,                0.76219,                0.46499,                0.94345,                0.94014,                0.56106,                0.66627,                 0.2962,                 2.3819,                 1.4996,                 2.3665,               0.000911,               0.000911,               0.000911
                     57,                0.74022,                0.46189,                0.92203,                0.83294,                  0.625,                0.68239,                0.29682,                 2.4335,                 1.3129,                 2.2726,              0.0008912,              0.0008912,              0.0008912
                     58,                0.76976,                 0.4731,                0.91946,                0.89236,                0.64286,                0.70282,                0.26565,                 2.4453,                 1.4452,                 2.2741,              0.0008714,              0.0008714,              0.0008714
                     59,                0.74225,                0.44136,                0.91618,                0.88442,                0.53571,                0.67675,                0.26995,                 2.3823,                 1.6392,                 2.0588,              0.0008516,              0.0008516,              0.0008516
                     60,                0.78065,                0.47151,                0.93147,                0.64244,                0.60963,                0.63729,                0.24233,                 2.5171,                 1.7233,                 2.1465,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.7023,                 0.4393,                0.91006,                0.80544,                0.59144,                0.67921,                0.26968,                  2.406,                 1.7041,                 2.0752,               0.000812,               0.000812,               0.000812
                     62,                0.69918,                0.42486,                0.92053,                0.76824,                  0.625,                0.69105,                0.29592,                 2.4474,                 1.5923,                 2.1686,              0.0007922,              0.0007922,              0.0007922
                     63,                0.67815,                 0.4068,                0.91257,                0.78856,                0.66605,                0.68651,                 0.3041,                 2.3709,                 1.5557,                  2.171,              0.0007724,              0.0007724,              0.0007724
                     64,                0.66449,                0.40563,                0.89825,                0.89883,                0.53571,                0.66307,                0.29137,                 2.3312,                 1.5661,                 2.1181,              0.0007526,              0.0007526,              0.0007526
                     65,                0.68656,                0.41223,                0.91337,                0.80642,                0.52081,                0.65166,                0.25964,                 2.3495,                 1.4834,                 2.1252,              0.0007328,              0.0007328,              0.0007328
                     66,                0.67251,                0.42751,                0.91752,                0.84839,                  0.625,                0.70129,                0.27801,                  2.395,                 1.4097,                 2.1735,               0.000713,               0.000713,               0.000713
                     67,                0.66886,                0.41352,                0.90343,                0.81517,                0.63013,                 0.6973,                0.30094,                 2.4222,                 1.5041,                 2.2321,              0.0006932,              0.0006932,              0.0006932
                     68,                0.73279,                0.42723,                0.91518,                0.85677,                  0.625,                0.69537,                 0.2764,                 2.4488,                 1.5326,                 2.4804,              0.0006734,              0.0006734,              0.0006734
                     69,                0.66632,                 0.4064,                0.89279,                0.83199,                0.57143,                0.65743,                0.27775,                 2.4828,                 1.5403,                 2.4492,              0.0006536,              0.0006536,              0.0006536
                     70,                0.65732,                0.39115,                0.89806,                0.80596,                0.59345,                 0.6686,                0.27406,                 2.4712,                  1.296,                 2.3339,              0.0006338,              0.0006338,              0.0006338
                     71,                0.66871,                0.40569,                0.90404,                0.80708,                0.53571,                0.68084,                 0.2701,                 2.4568,                 1.5182,                 2.1458,               0.000614,               0.000614,               0.000614
                     72,                 0.6312,                0.39153,                 0.8992,                0.83625,                0.54726,                0.66047,                0.28227,                 2.3893,                 1.4263,                 2.2256,              0.0005942,              0.0005942,              0.0005942
                     73,                0.67324,                0.39473,                0.90298,                0.68168,                0.67857,                0.68868,                0.30127,                 2.4622,                 1.4112,                 2.4347,              0.0005744,              0.0005744,              0.0005744
                     74,                0.62366,                0.37843,                0.88842,                0.77555,                0.60714,                0.70061,                0.32477,                 2.3225,                 1.3627,                 2.2496,              0.0005546,              0.0005546,              0.0005546
                     75,                0.66619,                0.38634,                0.90388,                0.73465,                0.69221,                0.68381,                0.30315,                 2.3399,                 1.3699,                 2.2337,              0.0005348,              0.0005348,              0.0005348
                     76,                0.61893,                0.38245,                0.87795,                0.84832,                  0.625,                0.69213,                0.28101,                 2.3902,                 1.4246,                 2.1307,               0.000515,               0.000515,               0.000515
                     77,                0.64089,                0.38899,                 0.8923,                0.90561,                0.58929,                0.70431,                0.29521,                 2.4311,                 1.5233,                 2.2031,              0.0004952,              0.0004952,              0.0004952
                     78,                 0.5895,                0.35927,                0.86759,                0.85628,                0.63841,                 0.7014,                0.29528,                 2.4686,                 1.4025,                 2.5842,              0.0004754,              0.0004754,              0.0004754
                     79,                0.61197,                0.36357,                0.88788,                0.81231,                0.60714,                0.68599,                0.31019,                 2.4033,                 1.3131,                 2.6845,              0.0004556,              0.0004556,              0.0004556
                     80,                0.59484,                0.37677,                0.88545,                0.80089,                  0.625,                0.69372,                0.29277,                 2.3226,                 1.4673,                 2.4072,              0.0004358,              0.0004358,              0.0004358
                     81,                0.60597,                0.37766,                0.89632,                0.80781,                0.67555,                0.72535,                0.30273,                 2.3441,                 1.5477,                 2.3905,               0.000416,               0.000416,               0.000416
                     82,                0.56628,                0.35484,                0.87927,                 0.9018,                0.67857,                0.74597,                0.29416,                   2.31,                 1.5623,                 2.2211,              0.0003962,              0.0003962,              0.0003962
                     83,                0.58427,                0.35877,                0.88146,                 0.8313,                0.64286,                0.74379,                0.30216,                  2.377,                  1.372,                 2.3186,              0.0003764,              0.0003764,              0.0003764
                     84,                0.57103,                0.34549,                0.86629,                0.74075,                0.76786,                0.72885,                0.31286,                 2.3694,                 1.3358,                 2.3572,              0.0003566,              0.0003566,              0.0003566
                     85,                0.57968,                0.34272,                0.86866,                0.84357,                0.73214,                 0.7656,                0.32143,                 2.3455,                 1.3378,                 2.3522,              0.0003368,              0.0003368,              0.0003368
                     86,                0.56223,                0.33715,                0.86655,                0.80463,                0.73549,                0.77116,                0.32185,                  2.392,                 1.2756,                 2.2079,               0.000317,               0.000317,               0.000317
                     87,                0.55679,                 0.3346,                0.87526,                0.78708,                0.73214,                 0.7639,                0.31125,                 2.3633,                 1.3476,                   2.28,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.5657,                0.34647,                0.86772,                0.85219,                0.69643,                0.74923,                0.30202,                 2.4219,                 1.4359,                 2.3049,              0.0002774,              0.0002774,              0.0002774
                     89,                0.53493,                0.33114,                0.84909,                0.78192,                0.70437,                0.73503,                0.30181,                 2.4492,                 1.4299,                 2.2944,              0.0002576,              0.0002576,              0.0002576
                     90,                0.54013,                0.33038,                0.85356,                0.75992,                0.69643,                0.73089,                0.28741,                 2.4127,                 1.4761,                 2.2751,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.2148,                0.65274,                 1.0519,                0.73167,                0.73042,                0.72144,                0.29846,                 2.3938,                 1.4681,                 2.2898,               0.000218,               0.000218,               0.000218
                     92,                  1.181,                0.62092,                 1.0324,                0.72972,                   0.75,                0.71992,                0.31285,                 2.4618,                 1.3878,                 2.3071,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.1437,                0.60003,                 1.0076,                0.74289,                0.67857,                0.72478,                0.31049,                 2.4552,                 1.4245,                 2.2537,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.1863,                0.64731,                  1.032,                0.76882,                  0.625,                0.69822,                0.30568,                 2.4392,                 1.4423,                 2.2105,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.1536,                0.59024,                 1.0246,                0.81186,                0.61657,                0.72164,                0.31361,                 2.3998,                 1.3414,                 2.2689,              0.0001388,              0.0001388,              0.0001388
                     96,                  1.183,                0.59899,                0.99584,                0.73712,                0.65101,                0.71186,                0.30985,                  2.383,                 1.2792,                 2.3428,               0.000119,               0.000119,               0.000119
                     97,                 1.1285,                0.55071,                  1.001,                0.77461,                0.67857,                0.74135,                0.32271,                  2.359,                 1.2914,                 2.2423,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.1362,                0.56557,                0.97795,                0.78682,                0.65911,                0.74299,                0.33287,                 2.3644,                 1.2912,                 2.2297,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.1284,                 0.5481,                0.99101,                0.77182,                0.66447,                0.73997,                0.32842,                 2.3833,                 1.3508,                 2.2428,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.1094,                0.54767,                0.99607,                0.83471,                0.63133,                0.73968,                0.33007,                 2.3573,                 1.3558,                 2.2395,               3.98e-05,               3.98e-05,               3.98e-05
